SG_UF;NM_UE;DS_CARGO;NM_CANDIDATO;NM_URNA_CANDIDATO;SG_UF_NASCIMENTO;DT_NASCIMENTO;DS_SIT_TOT_TURNO
MG;COLUNA;VEREADOR;EDIMAR RIBEIRO;EDIMAR MOTO TAXI;MG;21/10/1975;ELEITO POR QP
PA;MOJU;VEREADOR;IRANILSON TRINDADE DA SILVA;IRAN DA BET∂NIA;PA;07/03/1987;ELEITO POR QP
SP;SERT«OZINHO;VEREADOR;ANT‚NIO CêSAR PEGHINI;CESINHA;SP;25/08/1969;ELEITO POR QP
SP;SERT«OZINHO;VEREADOR;LEONARDO LIMA DIAS MEIRA;DR. LêO;BA;11/09/1973;ELEITO POR QP
MG;CRUZ÷LIA;VEREADOR;LARISSA CAMPOS ANDRADE;LARISSA ANDRADE;MG;01/06/1990;ELEITO POR MêDIA
SP;TAUBATê;VEREADOR;JO«O HENRIQUE DE MORAES RAMOS;JO«O HENRIQUE DENTINHO;SP;25/06/1966;ELEITO POR MêDIA
MG;DESCOBERTO;VEREADOR;ANA MARIA DA SILVA MOREIRA;ANA DO DêCIO;MG;26/05/1962;ELEITO POR QP
SP;TAUBATê;VEREADOR;DOUGLAS ALBERTO SANTOS;DOUGLAS CARBONNE;SP;09/12/1979;ELEITO POR QP
PB;ALHANDRA;VEREADOR;JOSê ROBERTO LOURENCO DOS SANTOS;IRM«O BETO DE ZEZO;PB;08/06/1986;ELEITO POR QP
SP;S«O JO«O DO PAU D'ALHO;VEREADOR;LUIZ ANT‚NIO LOPES BARROS;NINA;SP;28/04/1971;ELEITO POR QP
PB;MANA÷RA;VEREADOR;SILLAS PEREIRA VIRGULINO;SILLAS SIM«O;PE;29/09/1987;ELEITO POR MêDIA
PB;RIO TINTO;VEREADOR;MARCOS AURELIO DE OLIVEIRA SILVA;MARC«O;PB;10/02/1970;ELEITO POR QP
PB;SANTA CRUZ;VEREADOR;FRANCISCO ALDEJONES ABRANTES FERREIRA;ALDEJONES ABRANTES;PB;29/08/1961;ELEITO POR QP
SP;BARRA BONITA;PREFEITO;MANOEL FABIANO FERREIRA FILHO;MANEZINHO;SP;08/01/1966;ELEITO
PB;ZABEL“;VEREADOR;JOSê CLAUDIO DE SOUZA;Zê CLAUDIO;PB;11/10/1969;ELEITO POR MêDIA
PA;MOJU÷ DOS CAMPOS;VEREADOR;WALLACE PESSOA OLIVEIRA;WALLACE LALµ;PA;31/08/1992;ELEITO POR QP
MG;MINDURI;VEREADOR;JACIARA PORTELA NASCIMENTO;JACIARA NUTRICIONISTA;MG;16/04/1985;ELEITO POR QP
PA;OURêM;VEREADOR;JOSE GLEYBSON ALVES NETO;GLEYBSON NETO;PA;07/08/1983;ELEITO POR QP
PI;FLORIANO;VEREADOR;MARCONY ALISSON FERREIRA;MARCONY;PI;25/11/1983;ELEITO POR QP
PI;SANTO ANT‚NIO DE LISBOA;VEREADOR;FRANCISCO ANTONIO DA SILVA;DALUA;PI;01/05/1974;ELEITO POR MêDIA
PA;PORTEL;VEREADOR;ELIZEU ABREU PERDIG«O;ELIZEU PERDIG«O;PA;24/06/1980;ELEITO POR QP
PA;PORTEL;VEREADOR;AZIMAR SARGES COSTA;AZIMAR COSTA;PA;22/06/1981;ELEITO POR QP
PR;BOM SUCESSO DO SUL;VEREADOR;CRISTIANO ZANELLA;CRISTIANO;PR;30/05/1986;ELEITO POR QP
PR;CAMBARµ;VEREADOR;CASSIANO TELES DE MENEZES;CASSIANO MENEZES;PR;06/09/1986;ELEITO POR MêDIA
MG;VISCONDE DO RIO BRANCO;VEREADOR;LUCIANO PEREIRA;LUCINHO DO GAS;MG;08/04/1978;ELEITO POR MêDIA
PR;FL‡RIDA;VEREADOR;LUCIANO SANTOS;LUCIANO FI DO Zê CAETANO;PR;24/09/1979;ELEITO POR MêDIA
MS;ITAPOR«;VEREADOR;MANOEL FAUSTINO DA SILVA NETO;MANOEL DA SAÈDE;MS;06/05/1963;ELEITO POR QP
PA;LIMOEIRO DO AJURU;VEREADOR;MIGUEL DO SOCORRO PUREZA PIMENTEL;MIGUEL CAFê;PA;01/05/1970;ELEITO POR MêDIA
MT;MARCEL∂NDIA;VEREADOR;JULIOMAR PINHEIRO DE ALMEIDA;INVESTIGADOR JULIOMAR;MT;03/07/1984;ELEITO POR QP
MT;PARANA÷TA;VEREADOR;AD«O APARECIDO DOMENI;BATATA;PR;24/12/1976;ELEITO POR QP
PR;NOVA ESPERANÄA DO SUDOESTE;VEREADOR;ODENIR VIEIRA;DENI VIEIRA;PR;24/04/1972;ELEITO POR QP
RS;SEDE NOVA;VEREADOR;JESUM VOLNEI BILDHAUER;DEDA;RS;31/03/1979;ELEITO POR MêDIA
PA;ULIAN‡POLIS;VEREADOR;LUCAS ULIANA CARNEIRO DE ALMEIDA;LUCAS ULIANA;AL;15/04/1997;ELEITO POR MêDIA
MG;CAETê;VEREADOR;JOSê MARIA DA SILVA;Zê MARIA;MG;19/10/1983;ELEITO POR QP
TO;SANTA RITA DO TOCANTINS;VEREADOR;JACINTO ABREU DE ALENCAR;JACINTIM DA LINDALVA;TO;12/06/1996;ELEITO POR QP
PE;BARREIROS;VEREADOR;WADJA OLIVEIRA LEITE DE SOUZA LE«O;WADJA LE«O;PE;16/01/1976;ELEITO POR QP
TO;S«O VALêRIO;VEREADOR;CLEOMAR LOPES ROCHA CONCEIÄ«O;PROFESSORA CLEOMAR;TO;28/07/1965;ELEITO POR QP
MG;GUIMAR∂NIA;PREFEITO;ALEX GUIMAR«ES NUNES;ALEX;MG;19/12/1978;ELEITO
PE;BARREIROS;VEREADOR;LUIZ HENRIQUE TEXEIRA GAMA;HENRIQUE DO HOSPITAL;PE;02/07/1976;ELEITO POR MêDIA
MG;CAETê;VEREADOR;RENILTON JOSê DE MORAES;RENILTON NITA;MG;07/10/1981;ELEITO POR MêDIA
PB;CURRAL DE CIMA;VEREADOR;GILVANDRO NOGUEIRA DA SILVA;GIL DE D«O;PB;18/11/1980;ELEITO POR QP
AM;JUTA÷;VEREADOR;EDMUNDO ALMEIDA ZEVALLOS;EDINHO DA VILA;AM;05/04/1993;ELEITO POR QP
PB;JUAZEIRINHO;VEREADOR;ANTONIO MARCOS TORQUATO DINIZ;MARKINHOS  COLAÄO;PB;28/11/1987;ELEITO POR QP
PE;MACHADOS;VEREADOR;ADOLFO AMAIR SILVINO BARBOSA;AMAIR;PE;16/12/1992;ELEITO POR QP
PE;RECIFE;VEREADOR;KARINA DA SILVA SANTOS;KARI SANTOS;PE;29/03/1993;ELEITO POR MêDIA
BA;ALCOBAÄA;VEREADOR;ROBERIO LIMA NERIS;BERINHO DO CANTA GALO;BA;29/01/1981;ELEITO POR MêDIA
MG;FREI LAGONEGRO;VEREADOR;HELIO MARCOS FERNANDES;HELIO DO SAO JOAQUIM;MG;06/02/1982;ELEITO POR MêDIA
PE;BU÷QUE;VEREADOR;JOSê WILSON SANTANA;WILSON SANTANA;PE;06/05/1977;ELEITO POR QP
MG;GUARANI;VEREADOR;ANGELO MARCIO MENEZES MELO;ANGELO CHIN“S;MG;02/03/1988;ELEITO POR MêDIA
PE;S«O JOAQUIM DO MONTE;VEREADOR;GUTEMBERG MAGNO FERREIRA CABRAL;GUTEMBERG CABRAL;PE;07/05/1972;ELEITO POR QP
MG;IPIAÄU;VEREADOR;DIVINO ALVES DA COSTA;BILA;MG;25/09/1970;ELEITO POR QP
MG;IPIAÄU;VEREADOR;CARLOS HENRIQUE JEOVA DA COSTA PILICIE;CARLIM DO IRON;GO;22/03/1987;ELEITO POR QP
PE;RECIFE;VEREADOR;DAVI BERNARDO MUNIZ;DAVI MUNIZ;PE;12/05/1981;ELEITO POR QP
PI;MONSENHOR GIL;VEREADOR;ALEX SANDRO FERNANDES LIMA;ALEX FERNANDES  ALEX CABEÄA;PI;13/04/1981;ELEITO POR QP
MG;JOANêSIA;VEREADOR;ALYSSON ANDRADE ALVARENGA;ALIM DO POVO;MG;26/12/1983;ELEITO POR QP
PI;NAZARê DO PIAU÷;VEREADOR;MARIA DAS DORES MONTEIRO FREIRE DA SILVA;DAS DORES DO SINDICATO;PI;05/07/1982;ELEITO POR QP
PI;NAZARê DO PIAU÷;VEREADOR;FRANCISCO WILON DE LIMA;PROFESSOR WILON;PI;14/04/1975;ELEITO POR QP
MG;LIMEIRA DO OESTE;VEREADOR;CELITA QUEIROZ DE OLIVEIRA;CELITA;MG;28/03/1972;ELEITO POR QP
