SG_UF;NM_UE;DS_CARGO;NM_CANDIDATO;NM_URNA_CANDIDATO;SG_UF_NASCIMENTO;DT_NASCIMENTO;DS_SIT_TOT_TURNO
PA;MELGAÄO;VEREADOR;ALCILENE DOS SANTOS ALMEIDA;PROFESSORA CILENE ALMEIDA;PA;26/02/1986;ELEITO POR MêDIA
CE;SENADOR Sµ;PREFEITO;SABRINA MORAIS LOPES;SABRINA DO BEL;CE;05/12/1995;ELEITO
PR;S«O JO«O;PREFEITO;JONI ZANELLA FERREIRA;JONI ZANELLA FERREIRA;PR;06/06/1994;ELEITO
SP;GUARµ;PREFEITO;TULIO DE MATTOS FIGUEIREDO;DR. TULIO;SP;05/06/1966;ELEITO
PA;BENEVIDES;PREFEITO;LUZIANE DE LIMA SOLON OLIVEIRA;LUZIANE SOLON;PA;03/05/1980;ELEITO
PB;LOGRADOURO;PREFEITO;JOSê MARINALDO DA CRUZ;MARINALDO CRUZ;PB;21/03/1973;ELEITO
BA;MANSID«O;VEREADOR;GERVASIO JOSE DE OLIVEIRA NETO;GERVASIO JOSE;BA;21/10/1983;ELEITO POR QP
BA;LAP«O;VEREADOR;GEORGES ANTARES VILELA DA SILVA;GEORGE DA SATUR;BA;23/04/1972;ELEITO POR QP
BA;TAPEROµ;VEREADOR;RELINE PAIX«O DA HORA;RELINE DA PESCA;BA;01/05/1981;ELEITO POR MêDIA
BA;EUNµPOLIS;PREFEITO;JOSê ROBêRIO BATISTA DE OLIVEIRA;ROBêRIO OLIVEIRA;BA;12/03/1964;ELEITO
BA;MAIQUINIQUE;VEREADOR;LWANDERSON EZEQUIEL BRITO DOS SANTOS;EZEQUIEL FERRAZ;BA;26/03/1992;ELEITO POR QP
PI;CAMPO MAIOR;PREFEITO;JO«O FêLIX DE ANDRADE FILHO;JO«OZINHO FêLIX;PI;30/11/1959;ELEITO
MA;C∂NDIDO MENDES;VEREADOR;JADENILDE TEIXEIRA SILVA;JADE;MA;08/04/1985;ELEITO POR QP
PI;BATALHA;VEREADOR;KUAN DA SILVA MORAES;KAUAN MORAES;PI;13/04/2003;ELEITO POR QP
AM;APU÷;PREFEITO;ANT‚NIO MARCOS MACIEL FERNANDES;MARQUINHOS MACIL;PR;27/08/1975;ELEITO
SP;MONTE ALEGRE DO SUL;VEREADOR;JO«O BASILIO DE SOUZA GOULART;JO«O BASILIO;SP;21/02/2000;ELEITO POR QP
CE;SOLON‡POLE;VEREADOR;NILTOM CESAR BASTOS LOPES;CESINHA;CE;08/12/1969;ELEITO POR QP
MA;TUNTUM;VEREADOR;LAECYO FABRICYO COELHO DE SOUSA;FABRICIO COELHO;MA;26/05/1985;ELEITO POR QP
MG;PARµ DE MINAS;VEREADOR;MµRCIA FLAVIA MARZAG«O ALBANO;MµRCIA MARZAG«O;MG;29/06/1984;ELEITO POR QP
CE;BEBERIBE;VEREADOR;EDEMILSON DA COSTA SANTOS;LOURO DO PARED«O;CE;19/12/1981;ELEITO POR QP
CE;BATURITê;VICE-PREFEITO;FRANCISCO CARLOS LOURENÄO FREITAS;IRM«O CARLINHOS;CE;11/01/1968;ELEITO
BA;QUEIMADAS;VEREADOR;FµBIO VASCO SILVA;FµBIO PROFESSOR;BA;28/05/1980;ELEITO POR QP
BA;MUCUG“;VEREADOR;NOA AZEVEDO RAMOS BITTENCOURT;NOA AZEVEDO;BA;30/11/2005;ELEITO POR QP
BA;QUEIMADAS;VEREADOR;AGNALDO DOS SANTOS COELHO;NETO;BA;17/12/1971;ELEITO POR QP
CE;CAMOCIM;VEREADOR;MARCOS ANTONIO SILVA VERAS COELHO;MARCOS COELHO;CE;11/12/1968;ELEITO POR QP
CE;IBICUITINGA;VEREADOR;TAIZA CRISTIELE DA COSTA GOMES;TAIZA CRISTIELE;CE;18/07/1985;ELEITO POR QP
CE;MORRINHOS;VEREADOR;TêRLIA MARIA OLIVEIRA LEORNE;TêRLIA  LEORNE;CE;10/06/1966;ELEITO POR QP
CE;JAGUARETAMA;VEREADOR;JOSê AURILO PEIXOTO;AURILO PEIXOTO;CE;27/12/1968;ELEITO POR QP
CE;JAGUARETAMA;VEREADOR;SAMYLLA SALDANHA FêRRER OLIVEIRA;SAMYLLA FêRRER;CE;14/07/1988;ELEITO POR QP
CE;TRAIRI;VEREADOR;GERLANE PINTO BARBOSA;GERLANE DO TONH«O;CE;01/12/1977;ELEITO POR QP
GO;MINAÄU;VEREADOR;GILVANIA MARCIA  BARBOSA;GILVANIA MARCIA;GO;19/04/1968;ELEITO POR MêDIA
ES;IRUPI;VEREADOR;OSEIAS PIRES SOARES;OSEIAS PIRES;ES;14/11/1974;ELEITO POR MêDIA
GO;SANTA CRUZ DE GOIµS;VEREADOR;ELY ANTONIO MENDONCA;ELY MENDONCA;GO;23/09/1987;ELEITO POR MêDIA
ES;PEDRO CANµRIO;VEREADOR;JOSIEL CAMPOS GOMES;DIEL DA PIZZARIA;ES;26/08/1981;ELEITO POR MêDIA
GO;ABADIA DE GOIµS;VEREADOR;JAIRO PEREIRA MARINHO;JAIRO MARINHO;GO;09/08/1972;ELEITO POR QP
ES;CACHOEIRO DE ITAPEMIRIM;VEREADOR;EVANDRO MIRANDA;VANDINHO DA PADARIA;ES;03/07/1975;ELEITO POR QP
MA;GUIMAR«ES;VEREADOR;JOSEPH WILLIANS VIEGAS PEREIRA;JOSEPH PH;MA;06/06/1997;ELEITO POR MêDIA
GO;ANµPOLIS;VEREADOR;CARLOS ANTONIO DOS SANTOS;CARLIM DA FEIRA;GO;19/06/1969;ELEITO POR QP
GO;ANµPOLIS;VEREADOR;REAMILTON GONCALVES ESPINDOLA DE ATHAYDE;REAMILTON DO AUTISMO;GO;23/02/1979;ELEITO POR QP
MA;SANTA LUZIA DO PARUµ;VEREADOR;LUCINETE COSTA SANTOS;NOVINHA;MA;10/07/1973;ELEITO POR QP
MA;PERI MIRIM;VEREADOR;WALQU÷RIA AMORIM FRANÄA;WALQU÷RIA AMORIM;MA;12/06/1991;ELEITO POR MêDIA
MG;ARACITABA;VEREADOR;LAURO DE SOUZA E OLIVEIRA;LAURO DO CHICO ANTERO;MG;03/04/1960;ELEITO POR QP
GO;ITAGUARI;VEREADOR;LORENA FERNANDES EVANGELISTA;LORENA FERNANDES;GO;08/11/1993;ELEITO POR MêDIA
GO;QUIRIN‡POLIS;VEREADOR;LUCAS DE OLIVEIRA MACIEL;LUCAS COWBOY;GO;28/03/1990;ELEITO POR QP
GO;NOVO BRASIL;VEREADOR;JO«O BATISTA GOMES;JO«O BAIANO;GO;24/06/1952;ELEITO POR QP
GO;PALMELO;VEREADOR;JACQUELYNE KAMENACH;DRA JACQUELYNE;GO;10/12/1983;ELEITO POR QP
SC;IRANI;VEREADOR;ANTONIO MARCOS GUARESKI;ANTONIO GUARESKI;SC;18/08/1974;ELEITO POR QP
GO;UIRAPURU;VEREADOR;AILTON ALVES DE PAULA;AILTON BORRACHEIRO;GO;21/04/1977;ELEITO POR QP
MG;BOCAIÈVA;VEREADOR;JEFFERSON CARLEY ANDRADE LEITE;JEFFERSON CARLEY;MG;18/05/1993;ELEITO POR QP
SC;ASCURRA;VEREADOR;TONI ANGELO BUZZI;TONI;SC;20/07/1989;ELEITO POR QP
SP;BRAGANÄA PAULISTA;VEREADOR;AMERICO MASSAKI HIGUTI;CORONEL AMêRICO;SP;21/04/1967;ELEITO POR QP
SC;DION÷SIO CERQUEIRA;VEREADOR;EVANDRO TRESSOLDI DE ALMEIDA VARGAS;EVANDRO VARGAS;PR;18/12/1980;ELEITO POR QP
SC;MORRO GRANDE;VEREADOR;GEACIR DE STEFANI SOUZA;NEGUINHO DA SAÈDE;SC;30/01/1963;ELEITO POR QP
SC;SANTO AMARO DA IMPERATRIZ;VEREADOR;ANDERSON MACHADO;ANDERSON MACHADO;SC;17/04/1985;ELEITO POR QP
MA;PRIMEIRA CRUZ;VEREADOR;LAURO DA SILVA XAVIER DOS SANTOS;LAURINHO;MA;07/09/1984;ELEITO POR QP
SC;S«O MIGUEL DA BOA VISTA;VEREADOR;EVANDRO MARCIO CANZI;EVANDRO MARCIO CANZI;SC;08/04/1976;ELEITO POR QP
MA;SANTO AMARO DO MARANH«O;VEREADOR;ISA÷AS DA SILVA BARROS;ISA÷AS DO SATUBA;MA;06/04/1992;ELEITO POR QP
SP;ORINDIÈVA;VEREADOR;RAFAEL GUILHERME RODRIGUES DIAS;RAFAEL DO MIRIM;SP;20/12/1992;ELEITO POR QP
SP;PANORAMA;VEREADOR;JEAN PIERRE DE SOUZA GOMES ACANJO;DR JEAN;SP;03/12/1976;ELEITO POR MêDIA
SC;BOM JESUS;VEREADOR;JORGE ENDRYGO BRINKER;JORGE BRINKER;SC;19/12/1983;ELEITO POR QP
SP;REGISTRO;VEREADOR;LUIS MARCELO COMERON;MARCELO COMERON;SP;19/08/1962;ELEITO POR QP
SP;GUARULHOS;VEREADOR;FAUSTO MIGUEL MARTELLO;MARTELLO;SP;29/09/1952;ELEITO POR QP
SP;SANTO ANT‚NIO DO JARDIM;VEREADOR;HERIBERTO FERREIRA DE OLIVEIRA FILHO;BETINHO;SP;17/12/1977;ELEITO POR QP
SC;CAPINZAL;VEREADOR;FRANCISCO DE ASSIS SUTIL;FRANCISCO SUTIL;SC;13/09/1965;ELEITO POR MêDIA
SP;S«O JO«O DA BOA VISTA;VEREADOR;JOSE ALEXANDRE SASSAR«O;ALEXANDRE SASSAR«O;SP;10/06/1974;ELEITO POR QP
SC;BANDEIRANTE;VEREADOR;RODRIGO LOLATO;RODRIGO LOLATO;SC;24/08/1989;ELEITO POR QP
SP;S«O JO«O DA BOA VISTA;VEREADOR;SIDNEI RAMOS DA SILVA;NEI DA FARMACIA;MG;23/02/1970;ELEITO POR QP
SC;BOTUVERµ;VEREADOR;VANDERSON BETINELLI;NENE BETINELLI;SC;13/11/1987;ELEITO POR QP
SP;SEVER÷NIA;VEREADOR;VIVIANE VANESSA PEREIRA PIASSI;VIVIANE ASSISTENTE SOCIAL;SP;01/11/1979;ELEITO POR MêDIA
SC;RIO DAS ANTAS;VEREADOR;JOCIANE DE FATIMA DE MORAES CACHOEIRA;JUCE MORAES CACHOEIRA;SC;21/10/1981;ELEITO POR QP
SP;TACIBA;VEREADOR;ULISSES LINO DE SOUZA FILHO;ULISSES LINO;SP;26/02/1987;ELEITO POR MêDIA
SP;UR∂NIA;VEREADOR;JO«O JOVINO BATISTA;JO«O PEGA LEBRE;BA;11/06/1966;ELEITO POR QP
SC;VARGEM BONITA;VEREADOR;ARLETE TERESINHA DEBASTIANI;ARLETE;SC;11/12/1963;ELEITO POR QP
SE;ARAUµ;VEREADOR;JOSê ODAIR DOS SANTOS;ODAIR;SE;11/01/1974;ELEITO POR QP
SE;BREJO GRANDE;VEREADOR;JOSELITO FERREIRA DOS SANTOS;JOTA DO Zê DECA      ;SE;12/02/1971;ELEITO POR QP
SE;PEDRA MOLE;VEREADOR;PAULO JORGE DOS PASSOS;JORGE DA TOPIC;SE;31/12/1971;ELEITO POR QP
SP;MARIµPOLIS;VEREADOR;CLEBER JULIANO DE OLIVEIRA;CLEBER BICUDO;SP;16/08/1982;ELEITO POR MêDIA
PB;µGUA BRANCA;VEREADOR;ANT‚NIO CALDEIRA DO SANTO;ANTONIO CALDEIRA;PB;18/10/1966;ELEITO POR QP
PB;MAMANGUAPE;VEREADOR;MARIA DO SOCORRO DE OLIVEIRA;MARIA DA SAÈDE;PB;24/03/1966;ELEITO POR QP
SP;ARARAS;VEREADOR;MIRIAN VANESSA PIRES;MIRIAN VANESSA;SP;02/07/1988;ELEITO POR QP
SP;AMêRICO DE CAMPOS;VEREADOR;JO«O VITOR DAVID;JO«O VITOR DAVID;SP;03/06/2002;ELEITO POR QP
SP;BARRINHA;VEREADOR;MAGNUS WILLIAM DE CASTRO;MAGNUS - FILHO DO PROF. GIL;SP;22/09/1983;ELEITO POR QP
SP;BROTAS;VEREADOR;JANE SUZEGAN;JANE SUZEGAN;SP;30/03/1977;ELEITO POR QP
SP;RUBIµCEA;VEREADOR;LUIS FERNANDO LUCCAS DE OLIVEIRA;JHOW;SP;27/04/1999;ELEITO POR QP
PI;MILTON BRAND«O;VEREADOR;JOSE ANTONIO DE SOUSA SILVA;ZE ANTONIO;PI;18/07/1987;ELEITO POR QP
PI;MILTON BRAND«O;VEREADOR;WAUDERSON DE OLIVEIRA SENA SOUSA;WANDERSON CASAGRANDE;PI;03/10/1994;ELEITO POR QP
SP;SALTO GRANDE;VEREADOR;WILLIAN BORILIO TASSINARI;WILLIAN TASSINARI ;SP;25/11/1997;ELEITO POR QP
PR;CONTENDA;VEREADOR;MARCOS SCHINDA DA SILVA;MARQUINHOS;PR;04/11/1980;ELEITO POR QP
SP;ILHABELA;VEREADOR;GABRIEL AUGUSTO DE OLIVEIRA SOUZA ROCHA;GABRIEL ROCHA;SP;15/10/1981;ELEITO POR QP
SP;SANTO ANT‚NIO DE POSSE;VEREADOR;EDNEI RODRIGUES SILVA;ESQUERDINHA;PR;05/01/1974;ELEITO POR MêDIA
PR;MANOEL RIBAS;VEREADOR;SALETE BOEING DE MEDEIROS;PROFESSORA SALETE BOEING;PR;27/05/1963;ELEITO POR QP
PR;MATO RICO;VEREADOR;EDIVALDO JACINTO HIPOLITO;EDIVALDO PAULISTA;PR;03/07/1986;ELEITO POR QP
SP;S«O SIM«O;VEREADOR;ECIVAM PEREIRA SANTOS;VAM;GO;22/08/1974;ELEITO POR MêDIA
SP;JÈLIO MESQUITA;VEREADOR;SEBASTI«O APARECIDO FELIX DE OLIVEIRA;TI«OZINHO DO JONAS;SP;18/07/1967;ELEITO POR QP
SP;MAT«O;VEREADOR;PAULO AUGUSTO BERNARDI;PAULO BERNARDI;SP;27/04/1965;ELEITO POR QP
SP;UBARANA;VEREADOR;ANDERSON FERNANDO DINIZ DE LIRA;PROFESSOR NENE;SP;10/04/1986;ELEITO POR MêDIA
SP;MAT«O;VEREADOR;LUIS CONSTANTE MANSINI;LUIS MANZINI;SP;25/05/1959;ELEITO POR MêDIA
RS;SANTA CRUZ DO SUL;VEREADOR;ANDREI MARCEL MENDES BARBOZA;ANDREI BARBOZA;RS;08/09/1992;ELEITO POR MêDIA
PA;BELêM;VEREADOR;WASHINGTON COSTA DE ALBUQUERQUE;NENêM ALBUQUERQUE;SE;28/07/1974;ELEITO POR QP
SP;PARA÷SO;VEREADOR;JOSê ROBERTO BARBOZA NETO;Zê BARBOZA;SP;03/12/1999;ELEITO POR QP
PA;BELêM;VEREADOR;MAYKY TAYLY GUIMAR«ES FRANCO;MAYKY VILAÄA;PA;01/05/1988;ELEITO POR QP
PA;BUJARU;VEREADOR;DANIEL NUNES FERREIRA;DANIEL;TO;14/02/1970;ELEITO POR QP
PA;NOVO REPARTIMENTO;VEREADOR;JOANES DA SILVA SANTOS;BAU“;PA;17/02/1988;ELEITO POR QP
SP;SERT«OZINHO;VEREADOR;INACIO DE ALMEIDA LUZ;INACIO;BA;15/11/1985;ELEITO POR QP
SP;TAUBATê;VEREADOR;JOSê ANT‚NIO DE ANGELIS;BILILI DE ANGELIS;SP;09/04/1956;ELEITO POR QP
PA;TERRA ALTA;VEREADOR;OSIO DE JESUS SOUZA SAMPAIO JUNIOR;JUNIOR SAMPAIO;PA;01/10/1983;ELEITO POR MêDIA
MG;EWBANK DA C∂MARA;VEREADOR;ANDREA THEREZINHA WERNECK;ANDREA WERNECK;MG;20/10/1972;ELEITO POR QP
MG;EWBANK DA C∂MARA;VEREADOR;SAMUEL JOSE ANTONIO FERREIRA;SASSµ;MG;26/01/1988;ELEITO POR QP
SP;TAUBATê;VEREADOR;MOISES LUCIANO PEREIRA DOS SANTOS;MOISES PIRULITO;SP;19/04/1981;ELEITO POR QP
MG;EXTREMA;VEREADOR;ED CARLOS CAETANO DOS SANTOS;EDDY CAETANO CAUSA ANIMAL;SP;25/05/1977;ELEITO POR MêDIA
PB;BREJO DO CRUZ;VEREADOR;ONALDO FERNANDES MAIA;ONALDO MAIA ;PB;01/06/1956;ELEITO POR QP
PB;MANA÷RA;VEREADOR;THALLES MATHEUS SIMAO RABELO;MATHEUS SIM«O RABELO;PB;03/08/1998;ELEITO POR MêDIA
PB;RIO TINTO;VEREADOR;DAVI LIMA DA SILVA;DAVI DE BOA VISTA;PB;22/10/1986;ELEITO POR MêDIA
PB;S«O JOSê DOS RAMOS;VEREADOR;LUIZ FERNANDO DE PAIVA;NANDO;SP;27/04/1988;ELEITO POR MêDIA
PA;MOJU÷ DOS CAMPOS;VEREADOR;JOSê JOSICLEI SILVA DE OLIVEIRA;CLEI DO POVO;PA;19/11/1984;ELEITO POR QP
MG;PAINS;VEREADOR;WEULIS FRANCISCO DOS SANTOS;WEULIS SANTOS;MG;10/08/1987;ELEITO POR QP
PA;PONTA DE PEDRAS;VEREADOR;ELIZEU FURTADO FERREIRA;ELIZEU FERREIRA DO ESPORTE;PA;29/06/1990;ELEITO POR MêDIA
PI;ALAGOINHA DO PIAU÷;VEREADOR;LUIS ALVES GONZAGA;LUIS«O;PI;21/06/1963;ELEITO POR QP
PI;ALAGOINHA DO PIAU÷;VEREADOR;CICERO CLAUDIO DE Sµ;CICERO ALBERTO;PI;22/10/1991;ELEITO POR QP
PA;PONTA DE PEDRAS;VEREADOR;CHARLES SHAN FURTADO GOUVEA;CHARLES SHAN;PA;05/08/1979;ELEITO POR QP
PI;AVELINO LOPES;VEREADOR;ZELINA PEREIRA DE SOUSA;ZELINA PEREIRA;PI;27/04/1971;ELEITO POR QP
PI;BAIXA GRANDE DO RIBEIRO;VEREADOR;DEONEI MENDES RODRIGUES;DIONEI MENDES;PI;20/04/1982;ELEITO POR QP
PI;CORONEL JOSê DIAS;VEREADOR;NILTAVIO REIS DAMASCENO OLIVEIRA;DR NILTAVIO REIS;PI;06/01/1982;ELEITO POR QP
PI;FLORIANO;VEREADOR;ANTONIO JOSE BARBOSA;ANTONIO JOSê;PI;05/08/1963;ELEITO POR QP
SP;VERA CRUZ;VEREADOR;LUCIANA REGINA EDUARDO GERALDO;LUCIANA  EDUARDO;SP;23/05/1975;ELEITO POR MêDIA
MG;SANTOS DUMONT;VEREADOR;LUCIANO GOMES;LUCIANO DO GµS;MG;12/03/1977;ELEITO POR MêDIA
MG;S«O GONÄALO DO PARµ;VEREADOR;VALDECI XAVIER RIBEIRO;VALDECI XAVIER;MG;24/05/1965;ELEITO POR MêDIA
PI;ILHA GRANDE;VEREADOR;HENRIQUE DO NASCIMENTO BITTENCOURT;HENRIQUE DO PAUL«O;PI;30/05/1984;ELEITO POR QP
PI;UNI«O;VEREADOR;LEONARDO FIALHO MACHADO NOGUEIRA;LEO DO PT;PI;13/04/1984;ELEITO POR QP
PA;BRAGANÄA;VEREADOR;JONAS MIKC SOUZA RODRIGUES;DR JONAS;PA;29/04/1983;ELEITO POR MêDIA
PA;REDENÄ«O;VEREADOR;WILMON MOTA MARTINS;NEGUINHO ELETRICISTA;TO;10/04/1969;ELEITO POR QP
PA;REDENÄ«O;VEREADOR;ABJO PEREIRA DOS SANTOS;JB MANINHO;PA;16/01/1986;ELEITO POR QP
PA;REDENÄ«O;VEREADOR;HUGO TEODORO DE SOUSA;HUGO TOMê;PA;23/11/1988;ELEITO POR QP
PA;REDENÄ«O;VEREADOR;MARCOS SERGIO LOPES FERREIRA;PROFESSOR MARCOS SERGIO;MA;14/09/1978;ELEITO POR MêDIA
PA;REDENÄ«O;VEREADOR;JO«O RODRIGUES DE SOUSA NETO;JO«OZINHO;PA;16/12/1993;ELEITO POR QP
PR;FAROL;VEREADOR;JOAO NEPOSIANO DA SILVA;JO«O PAÄOCA;PR;06/07/1965;ELEITO POR QP
PR;GUARATUBA;VEREADOR;RICARDO PAIX«O DE MACEDO;RICARDINHO DA GARAGEM;PR;08/11/1975;ELEITO POR MêDIA
MS;LAGUNA CARAP«;VEREADOR;MILTON GONÄALVES DE MATOS;CHAPêU;MS;20/09/1974;ELEITO POR MêDIA
MS;PARA÷SO DAS µGUAS;VEREADOR;LEONARDO CORNIANI DIAS;PROFESSOR LEONARDO;MS;17/01/1977;ELEITO POR QP
MT;PARANA÷TA;VEREADOR;JOSE DOMINGOS NUNES;BIRO BIRO;BA;17/09/1967;ELEITO POR MêDIA
PR;NOVA ALIANÄA DO IVA÷;VEREADOR;CLARICE APARECIDA DA SILVA SOUZA;CLARICE;PR;12/07/1962;ELEITO POR MêDIA
RS;VISTA GAÈCHA;VEREADOR;DELMA MARTINS GROLLI;DELMA;RS;28/04/1964;ELEITO POR QP
MT;VILA BELA DA SANT÷SSIMA TRINDADE;VEREADOR;EDSON PALACIO DE OLIVEIRA;NEM DA GUAPORê;MT;14/03/1985;ELEITO POR QP
MG;CABO VERDE;VEREADOR;MARCOS ALEXANDRE DA SILVA;CATITA DA SERRA;MG;03/11/1980;ELEITO POR MêDIA
PA;XINGUARA;VEREADOR;EDVALDO BRITO ROSA;EVALDO DO FRIGORIFICO;PA;28/03/1985;ELEITO POR MêDIA
MG;CHALê;VEREADOR;LENNON HERINGER GOMES ALVES;LENIN DO HUDSON;MG;02/07/1979;ELEITO POR MêDIA
MG;CONCEIÄ«O DOS OUROS;VEREADOR;GUILHERME EDUARDO ALVES DE MORAIS;GUILHERME DO COELHO;MG;19/08/1995;ELEITO POR QP
AL;DOIS RIACHOS;VEREADOR;EVERTON DE NOVAIS MELLO;EVERTON NOVAIS;AL;14/04/1989;ELEITO POR QP
AL;DOIS RIACHOS;VEREADOR;EVALDO BEZERRA DA SILVA VANDERLEY;VALDO WANDERLEY;AL;19/11/1973;ELEITO POR QP
AM;ATALAIA DO NORTE;VEREADOR;JOSê FRANCISCO DE ASSIS OLIVEIRA DA COSTA;Zê DA NETE;AM;26/06/1978;ELEITO POR QP
PB;CAJAZEIRAS;VEREADOR;SARA SHEYLA SANTANA ALVES;SARA SHEYLA;PB;26/08/1987;ELEITO POR MêDIA
PB;CURRAL DE CIMA;VEREADOR;GUILHERME DO NASCIMENTO SOARES FILHO;GUILHERMINHO;PB;15/06/1984;ELEITO POR QP
PB;DESTERRO;VEREADOR;NAPOLE«O DE ALMEIDA;NAPOLE«O DE ALMEIDA;PB;25/07/1943;ELEITO POR MêDIA
MG;DATAS;VEREADOR;WILTON EFIGENIO DA SILVA;WILTON FUSQUINHA;MG;12/01/1963;ELEITO POR QP
MG;DATAS;VEREADOR;ANT‚NIO VALTER DOS SANTOS;TOTONHO;MG;12/02/1975;ELEITO POR QP
MG;DORES DO INDAIµ;VEREADOR;CLêBER TONACO DE SOUSA;CLêBER TONACO SAÈDE;MG;07/07/1982;ELEITO POR QP
AM;S«O GABRIEL DA CACHOEIRA;VEREADOR;LUIZ EDUARDO SALES GUEDES;DUDU DA PRAIA;AM;20/11/1990;ELEITO POR MêDIA
MG;FREI LAGONEGRO;VEREADOR;FLAVIO MARTINS ROSA;FLµVIO MARTINS;MG;21/03/1987;ELEITO POR QP
PE;RECIFE;VEREADOR;RAFAEL ACIOLI MEDEIROS;ERIBERTO RAFAEL;PE;02/06/1988;ELEITO POR QP
BA;ALCOBAÄA;VEREADOR;PEDRO SAMARONY DOS SANTOS OLIVEIRA;GO DA COLONIA;BA;11/05/1971;ELEITO POR QP
BA;ALCOBAÄA;VEREADOR;ADROABSON WAGMAKER AGUIAR;DROZINHO;BA;01/05/1983;ELEITO POR QP
PE;CORT“S;VEREADOR;CELSO CLEITON SANTOS DA SILVA;CELSO;PE;22/01/1978;ELEITO POR QP
MG;IPIAÄU;VEREADOR;ANDRIELLA CRISTINA DA COSTA SOUTO;ANDRIELLA DO MARQUINHO;MG;05/02/1987;ELEITO POR MêDIA
BA;CONTENDAS DO SINCORµ;VEREADOR;JOAO UMBURANAS;JOAO GALINHA;BA;14/12/1967;ELEITO POR QP
BA;FEIRA DE SANTANA;VEREADOR;JOSê MARQUES DE MESSIAS;Zê CURUCA;BA;25/10/1965;ELEITO POR MêDIA
PE;VERDEJANTE;VEREADOR;DORIVAL GONDIM DA SILVA;DORINHO;PE;07/05/1969;ELEITO POR MêDIA
PI;BARRA D'ALC∂NTARA;VEREADOR;VALDECARLOS SANTOS PEREIRA;VAVµ ESTEV«O;PI;07/09/1988;ELEITO POR MêDIA
MG;LUZ;VEREADOR;ADRIANO APARECIDO FIDELES;ADRIANO MAKITO;MG;04/12/1981;ELEITO POR MêDIA
MG;MANHUAÄU;VEREADOR;GEDIVAL BITENCOURT BREDER;GEDIVAL BREDER;MG;11/02/1961;ELEITO POR MêDIA
PI;MIGUEL ALVES;VEREADOR;RUY DGRAN DE ALCANTARA E SILVA;RUY D GRANN;PI;03/05/1982;ELEITO POR QP
PI;PAES LANDIM;VEREADOR;VITALINA LACERDA RODRIGUES MARQUES;VITALINA LACERDA;PI;05/10/1955;ELEITO POR QP
BA;IGRAPIÈNA;VEREADOR;PAULO RICARDO BONFIM;RICARDO ELETRICISTA;BA;16/09/1986;ELEITO POR QP
BA;IGRAPIÈNA;VEREADOR;VALDEK SALES;VALDEK SALES;BA;03/05/1980;ELEITO POR QP
PR;CONSELHEIRO MAIRINCK;VEREADOR;AGEU FERREIRA DE ALMEIDA;AGEU FERREIRA;PR;05/01/1981;ELEITO POR MêDIA
PR;CONSELHEIRO MAIRINCK;VEREADOR;LEANDRO HENRIQUE PEDRO;LELE DO POSTO;SP;11/04/1988;ELEITO POR QP
MG;MANHUAÄU;VEREADOR;CLEBER DA PENHA BENFICA;CLEBER BENFICA DA MATINHA;MG;02/07/1977;ELEITO POR MêDIA
PR;CRUZEIRO DO SUL;VEREADOR;ERISVALDO ALVES DOS SANTOS;POLACO DA SAÈDE;PR;06/05/1958;ELEITO POR MêDIA
PR;ARAPOTI;VEREADOR;ROMANTI EZER PRESTES MOREIRA;ROMANTI MOREIRA;PR;21/04/1979;ELEITO POR QP
BA;ILHêUS;VEREADOR;MANUCLEITON SOUZA MORAES;K“KO PIZZA;BA;12/03/1993;ELEITO POR QP
PR;JUNDIA÷ DO SUL;VEREADOR;DJALMA DE OLIVEIRA;DJALMA DO GµS;PR;05/01/1989;ELEITO POR QP
MG;NEPOMUCENO;VEREADOR;ELDER WANDER DE CARVALHO;EDINHO CORREDOR;MG;04/06/1984;ELEITO POR QP
PR;CORONEL DOMINGOS SOARES;VEREADOR;NARA MELO LE«O;PROFESSORA NARA LE«O;PR;17/01/1990;ELEITO POR QP
BA;ITABERABA;VEREADOR;GERSON ALMEIDA DE JESUS;GERSON ALMEIDA;BA;07/07/1969;ELEITO POR QP
RS;SANTO ANT‚NIO DAS MISSÂES;VEREADOR;THOMµS BALBê SARMENTO;THOMµS BALBê;RS;07/12/1996;ELEITO POR MêDIA
RS;SANTO ANT‚NIO DAS MISSÂES;VEREADOR;CRISTIANO DUTRA NUNES;CRISTIANO NUNES;RS;28/09/1975;ELEITO POR QP
PR;PLANALTO;VEREADOR;VANDERLEI CLAIR MACHADO SOARES;VANDE MOTOS;PR;08/05/1974;ELEITO POR MêDIA
RN;BA÷A FORMOSA;PREFEITO;CAMILA VERAS DE MELO CAVALCANTI;CAMILA MELO;PE;20/11/1986;ELEITO
PR;S«O JORGE D'OESTE;VEREADOR;ROSANE FATIMA LOTTI;ROSE LOTTI;RS;03/12/1967;ELEITO POR QP
PR;S«O JORGE D'OESTE;VEREADOR;ADIR ANTONIO MARAFON;ADIR MAFARON;PR;25/02/1960;ELEITO POR MêDIA
PR;S«O JORGE D'OESTE;VEREADOR;SêRGIO ROBERTO PRIAMO;SABIµ;PR;09/05/1973;ELEITO POR MêDIA
MG;BRASIL∂NDIA DE MINAS;VEREADOR;LUIS FELIPE SILVA DE ANDRADE;FELIPE ANDRADE;MG;26/12/1994;ELEITO POR QP
