UF;MUNICÍPIO;CARGO;NOME DO CANDIDATO;NOME NA URNA;DS_SIT_TOT_TURNO
PE;VITÓRIA DE SANTO ANTÃO;VEREADOR;FELIPE CEZAR BEZERRA DA SILVA;FELIPE CEZAR;ELEITO POR QP
PI;JATOBÁ DO PIAUÍ;VEREADOR;JERMIRAY SOUSA MACEDO ANDRADE;JERMIRAY ANDRADE;ELEITO POR QP
BA;IBIPEBA;VEREADOR;JOÃO DE DEUS PEREIRA DA SILVA;JOÃO DE DEUS;ELEITO POR QP
PI;SÃO JOSÉ DO PIAUÍ;VEREADOR;ALEXSANDRA DE LIMA FEITOZA;ALEXSANDRA LIMA;ELEITO POR QP
SP;VÁRZEA PAULISTA;VEREADOR;MICHAEL PERES DE NOBREGA;PROFESSOR MAYCON DE NOBREGA;ELEITO POR QP
BA;JEQUIÉ;VEREADOR;MARIA APARECIDA SOUZA SANTOS DE DEUS;PROFESSORA CIDA;ELEITO POR QP
BA;JEQUIÉ;VEREADOR;GILVAN SOUZA SANTANA;SOLDADO GILVAN;ELEITO POR QP
PB;CAIÇARA;VEREADOR;CARLOS ANTONIO PORPINO DA CRUZ;CARLINHOS DE MOÇA;ELEITO POR QP
PB;CAIÇARA;VEREADOR;CLAUDIO FERREIRA DA SILVA;CLAUDINHO;ELEITO POR QP
PB;CAIÇARA;VEREADOR;LUIS GOMES DA FONSECA;LULA BONDADE;ELEITO POR QP
MG;CANAÃ;VEREADOR;GERALDO MAGELA DA SILVA;GELA DE AMANTINO;ELEITO POR QP
MG;CONQUISTA;VEREADOR;JULIO CESAR DOS SANTOS;SIBIRIKA;ELEITO POR QP
MG;MINAS NOVAS;VEREADOR;JOSÉ WALLASY SOARES FERNANDES;WALLASY DE ZECA DA CRUZINHA;ELEITO POR QP
PE;ITAÍBA;VEREADOR;JOSE MARCELO PEREIRA DOS SANTOS;MARCELO PILOTA;ELEITO POR QP
MG;SANTA HELENA DE MINAS;VEREADOR;JULIANA NERES WLINGER;JULIANA WLINGER;ELEITO POR QP
PE;SERRITA;VEREADOR;JOSE FABIO DA CRUZ;FABIO DE ZE BELARMINO;ELEITO POR QP
PE;SERRITA;VEREADOR;ISAC SAMPAIO DA SILVA;ISAC SAMPAIO;ELEITO POR QP
PI;ELISEU MARTINS;VEREADOR;RICARDO DE SOUSA ESTRELA;RICARDO ESTRELA;ELEITO POR QP
PI;FRANCINÓPOLIS;VEREADOR;JOSÉ SILVA DO NASCIMENTO;ZÉ DIÓ;ELEITO POR QP
PI;MIGUEL LEÃO;VEREADOR;ELISVALDO DE SOUSA BATISTA;ELISVALDO;ELEITO POR QP
PI;SÃO LUIS DO PIAUÍ;VEREADOR;LINDALBERTO RICARDINO DA SILVA;LINDALBERTO RICARDINO;ELEITO POR QP
MG;TRÊS CORAÇÕES;VEREADOR;ELIAS PEREIRA;ELIAS DO PROJETO YPIRANGA;ELEITO POR QP
PI;SÃO LUIS DO PIAUÍ;VEREADOR;AGILDON BARROS DE MOURA;AGILDON BARROS;ELEITO POR QP
PR;ENÉAS MARQUES;VEREADOR;JUSSANDRA CARDOSO MOREIRA CATTÂNEO;JUSSANDRA  CATTÂNEO;ELEITO POR QP
MG;UBAÍ;VEREADOR;MARCIO MARTINS QUEIROZ;MARCIO QUEIROZ;ELEITO POR QP
SP;TAQUARITINGA;VEREADOR;MARCELO MARINHO DOS SANTOS;MARCELO MARINHO;ELEITO POR QP
PR;MEDIANEIRA;VEREADOR;MARCOS BERTA;MARCOS BERTA;ELEITO POR QP
SP;VOTUPORANGA;VEREADOR;NATIELLE GAMA GRACIANO;NATIELLE GAMA;ELEITO POR QP
RS;PORTO ALEGRE;VEREADOR;GIOVANE LUIZ DE LIMA JUNIOR;GIOVANE BYL;ELEITO POR QP
RS;PORTO ALEGRE;VEREADOR;GILSOMAR DA SILVA;GILSON PADEIRO;ELEITO POR QP
RS;PORTO ALEGRE;VEREADOR;JONAS TARCISIO REIS;JONAS REIS;ELEITO POR QP
RS;ARATIBA;VEREADOR;GELSOMIR ANTONIO CARNIEL;CARNIEL;ELEITO POR QP
RS;ARROIO DO SAL;VEREADOR;CARLOS HENRIQUE CARDOSO DIAS;CARLOS DIAS;ELEITO POR QP
RS;PORTO ALEGRE;VEREADOR;JOSÉ AMARO AZEVEDO DE FREITAS;JOSÉ FREITAS;ELEITO POR QP
RS;BARROS CASSAL;VEREADOR;GLEOBETO POSSAMAI;BETO GRINGO;ELEITO POR QP
RS;IMIGRANTE;VEREADOR;MÁRCIO ROTTOLI;MÁRCIO ROTTOLI;ELEITO POR QP
RS;IVORÁ;VEREADOR;EDER GUBIANI LONDERO;EDER GUBIANI LONDERO;ELEITO POR QP
TO;LAJEADO;VEREADOR;MARCIO DA COSTA BRITO;MARCIO BRITO;ELEITO POR QP
RS;PORTO ALEGRE;VEREADOR;TANISE AMÁLIA PAZZIM;PSICÓLOGA TANISE SABINO;ELEITO POR QP
RS;LAGOÃO;VEREADOR;SILVIA MARIZA VIEIRA LACERDA;MARIZA;ELEITO POR QP
RS;TURUÇU;VEREADOR;GISELE DOS SANTOS AMARAL;GISELE AMARAL;ELEITO POR QP
RS;TURUÇU;VEREADOR;FABIO DOLESKI KRAUSE;FABINHO;ELEITO POR QP
PA;CONCÓRDIA DO PARÁ;VEREADOR;JOSÉ FLAVIO MADEIRO DE ARRUDA;FLAVIO ARRUDA;ELEITO POR QP
AL;CANAPI;VEREADOR;HÉLIO MACIEL SOUZA FERNANDES;TÉ DE ZEQUINHA;ELEITO POR QP
PA;CURRALINHO;VEREADOR;AMILTON ANTUNES MACHADO;AMILTON ANTUNES;ELEITO POR QP
BA;MUNIZ FERREIRA;VEREADOR;THIAGO SANTOS DE ANDRADE;BURA DO TAITINGA;ELEITO POR QP
BA;NOVA REDENÇÃO;VEREADOR;JOSÉ FELIX VIEIRA FILHO;BENEGA AMIGUINHO;ELEITO POR QP
BA;NOVA REDENÇÃO;VEREADOR;RENATA ARAÚJO SILVA DOS SANTOS;RENATINHA;ELEITO POR QP
PA;SENADOR JOSÉ PORFÍRIO;VEREADOR;JAMILTON DA COSTA ATAÍDE;JAMIL;ELEITO POR QP
BA;SÃO DESIDÉRIO;VEREADOR;VILMA MESSIAS DE SOUZA ANJOS;VILMA DA BATALHA;ELEITO POR QP
BA;BARRA;VEREADOR;MARIA DO SOCORRO LEONARDO NUNES;SOCORRO;ELEITO POR QP
BA;UAUÁ;VEREADOR;JORGE LUIZ LOBO ROSA FILHO;JORGE LOBO FILHO;ELEITO POR QP
PB;NATUBA;VEREADOR;LUIZ GUILHERME VIANA DA SILVA;GUILHERME VIANA;ELEITO POR QP
PB;SÃO FRANCISCO;VEREADOR;ROBERTO OLIVEIRA DE SA;ROBERTO DE ISAÍAS;ELEITO POR QP
PB;SÃO JOSÉ DO SABUGI;VEREADOR;DAMIÃO DOMICIANO GALVINCIO;JUNIOR GALVINCIO;ELEITO POR QP
CE;CAUCAIA;VEREADOR;BENEDITO IRES DA CUNHA;BENÉ;ELEITO POR QP
PE;BREJO DA MADRE DE DEUS;VEREADOR;ALEXANDRE ARAUJO DA COSTA;XANDE DA FONTE;ELEITO POR QP
PR;NOVA TEBAS;VEREADOR;VANDERLEY BORGERT;VANDERLEY BORGERT;ELEITO POR QP
PR;RIBEIRÃO DO PINHAL;VEREADOR;EDUARDO DA CRUZ RIBEIRO;EDUARDO RIBEIRO;ELEITO POR QP
PE;TUPANATINGA;VEREADOR;JOSÉ PORTELIO BEZERRA;COSTA;ELEITO POR QP
RJ;RIO DAS OSTRAS;VEREADOR;EDSON CARLOS GOMES DE OLIVEIRA;SÃO CARLOS ;ELEITO POR QP
MG;TAPIRA;VEREADOR;ANA PAULA DE SOUZA FERREIRA;ANA PAULA;ELEITO POR QP
RN;LAJES PINTADAS;VEREADOR;VALDINEY ALEXANDRE PEREIRA;VAL;ELEITO POR QP
ES;MUQUI;VEREADOR;RONIE VON NERY;RONIE VON;ELEITO POR QP
PR;ALTO PARAÍSO;VEREADOR;ELIANE DE OLIVEIRA CAETANO;ELIANE CAETANO;ELEITO POR QP
ES;SANTA TERESA;VEREADOR;CLAUDIO GIOVANE PRANDO MILLI;PROFESSOR GIOVANE PRANDO;ELEITO POR QP
RR;AMAJARI;VEREADOR;DAVID SOARES DE SOUZA;IRMÃO DAVI;ELEITO POR QP
PR;ASSIS CHATEAUBRIAND;VEREADOR;AGNALDO DOS SANTOS VIEIRA;AGNALDO VIEIRA;ELEITO POR QP
GO;EDÉIA;VEREADOR;GUILHERME CARVALHO DE ALMEIDA;GUILHERME CARVALHO;ELEITO POR QP
GO;SANTA FÉ DE GOIÁS;VEREADOR;MURILO CARLOS DA SILVA;MURILO BUQUEIRÃO;ELEITO POR QP
MA;BOM LUGAR;VEREADOR;MARCELO DE BRITO DAMASCENA;MARCELO DO BOLO;ELEITO POR QP
RS;CHUVISCA;VEREADOR;DOUGLAS BIERHALS ROLOFF;DOUGLAS  ROLOFF;ELEITO POR QP
AC;PORTO WALTER;VEREADOR;JOSE FRANCISCO DIAS DE OLIVEIRA;NETO DIAS;ELEITO POR QP
RS;MAMPITUBA;VEREADOR;DANIELA BROCCA LIMA;DANIELA BROCCA;ELEITO POR QP
RS;VIAMÃO;VEREADOR;EDA REGINA DA SILVA GIENDRUCZAK DE GODOY;EDA;ELEITO POR QP
SC;ABDON BATISTA;VEREADOR;LUCIANO HERMES;LUCIANO;ELEITO POR QP
SC;RIO NEGRINHO;VEREADOR;KETI REGINA SCHROEDER;KETI SCHROEDER;ELEITO POR QP
BA;CAETANOS;VEREADOR;FABIO PEREIRA SILVA;FABIO DE BERTO;ELEITO POR QP
BA;NOVA SOURE;VEREADOR;NILTON CARVAHO DE LIMA;NILTON DE GAVIAO;ELEITO POR QP
BA;ESPLANADA;VEREADOR;SÉRGIO LUIZ DEMINCO MOREIRA;SERGINHO LOBÃO;ELEITO POR QP
SP;BARUERI;VEREADOR;ANTONIO FURLAN FILHO;TONINHO FURLAN;ELEITO POR QP
MG;CONCEIÇÃO DE IPANEMA;VEREADOR;ODAIR JOSE ALVES EMIDIO;ODAIR JOSE;ELEITO POR QP
MG;CRUZEIRO DA FORTALEZA;VEREADOR;REINALDO JOSE ALVES;REINALDO DO OTI;ELEITO POR QP
BA;ITIRUÇU;VEREADOR;ALTAMIRES DA SILVA SOUZA;MILY DE UPABUÇU;ELEITO POR QP
BA;SALVADOR;VEREADOR;SILVIO HUMBERTO DOS PASSOS CUNHA;SILVIO HUMBERTO;ELEITO POR QP
MG;JUIZ DE FORA;VEREADOR;JULIO CESAR ROSSIGNOLI BARROS;JULINHO DA ANA PADRE FREDERICO;ELEITO POR QP
MG;JUIZ DE FORA;VEREADOR;CARLOS ALBERTO DE MELLO;SARGENTO MELLO CASAL;ELEITO POR QP
MG;JUIZ DE FORA;VEREADOR;VICTOR PAULO DE OLIVEIRA;VITINHO;ELEITO POR QP
BA;SALVADOR;VEREADOR;JOÃO CLÁUDIO VEIGA BACELAR BATISTA;JOÃO CLÁUDIO BACELAR;ELEITO POR QP
CE;SANTANA DO CARIRI;VEREADOR;TAINA FEITOSA RIBEIRO;TAINA FEITOSA;ELEITO POR QP
SP;DOLCINÓPOLIS;VEREADOR;JOSÉ AUGUSTO DE LEÃO FRANZATO;NEGO FRANZATO;ELEITO POR QP
MG;SANTANA DO GARAMBÉU;VEREADOR;MAURO JOSÉ DA CUNHA;MAURO;ELEITO POR QP
MG;SANTANA DO GARAMBÉU;VEREADOR;MÁRIO DIMAS FAGUNDES DE CASTRO;MÁRIO DIMAS;ELEITO POR QP
RN;AFONSO BEZERRA;VEREADOR;MANOEL HENRIQUE BEZERRA NETO;NETO DA CABRAL;ELEITO POR QP
RN;DOUTOR SEVERIANO;VEREADOR;MARIA ALVANEIDE BESSA DE OLIVEIRA;ALVANEIDE BESSA;ELEITO POR QP
RN;SÃO BENTO DO NORTE;VEREADOR;ANTONIO TAVARES DO NASCIMENTO NETO;NETINHO DE CARLITO;ELEITO POR QP
RO;MACHADINHO D'OESTE;VEREADOR;DANIEL VICTOR FERREIRA SOUSA;DANIEL VETERINARIO;ELEITO POR QP
SP;MOGI DAS CRUZES;VEREADOR;MAURO DE ASSIS MARGARIDO;MAURINHO DO DESPACHANTE;ELEITO POR QP
MT;PONTES E LACERDA;VEREADOR;RICARDO AUGUSTO DA SILVA;RICARDINHO;ELEITO POR QP
RS;BAGÉ;VEREADOR;MAURÍCIO LACERDA VARGAS;MAURICIO VARGAS;ELEITO POR QP
RS;BAGÉ;VEREADOR;GRAZIANE LARA MARTINS;GRAZIANE LARA;ELEITO POR QP
RS;BAGÉ;VEREADOR;LUCAS BORBA DE MELLO;LUCAS MELLO;ELEITO POR QP
RS;BAGÉ;VEREADOR;CARLOS ADRIANO SILVEIRA CARNEIRO;ESQUERDA CARNEIRO;ELEITO POR QP
SP;MOGI MIRIM;VEREADOR;JOÃO VICTOR COUTINHO GASPARINI;JOÃO VICTOR GASPARINI;ELEITO POR QP
RS;CIRÍACO;VEREADOR;JOLDERIO BRAGAGNOL MORESCO;JOLDERIO MORESCO;ELEITO POR QP
MA;CARUTAPERA;VEREADOR;WILLIAM CARLOS DOS ANJOS MACHADO;WILLIAM MACHADO;ELEITO POR QP
SP;NOVA CANAÃ PAULISTA;VEREADOR;REGIANE ALVES FERREIRA;REGI;ELEITO POR QP
RS;CORONEL PILAR;VEREADOR;ALCIDES BOSCAINI;ALCIDES BOSCAINI;ELEITO POR QP
MA;COELHO NETO;VEREADOR;PAULO BETO GOMES BENICIO;PAULO CIGANO;ELEITO POR QP
SP;PAULÍNIA;VEREADOR;ALEXANDRO EDUARDO DA SILVA;ALEX EDUARDO;ELEITO POR QP
AM;CAREIRO DA VÁRZEA;VEREADOR;FRANCISCO ANTONIO DA COSTA;TOTONHO;ELEITO POR QP
SP;PONGAÍ;VEREADOR;ATAIDE FRANÇA JUNIOR;KEBRADINHO;ELEITO POR QP
SC;IBIAM;VEREADOR;JOCIMAR TESCK DE OLIVEIRA;JOCIMAR DE OLIVEIRA;ELEITO POR QP
SC;LINDÓIA DO SUL;VEREADOR;DIOGO NICOLAU;DIOGO NICOLAU;ELEITO POR QP
SC;LINDÓIA DO SUL;VEREADOR;MOACIR OBERTI BURNIER;MOACIR BURNIER;ELEITO POR QP
AP;PRACUÚBA;VEREADOR;BIANCA DOS PASSOS GURJÃO;BIANCA PASSOS;ELEITO POR QP
AP;PRACUÚBA;VEREADOR;JOILSON GUIMARÃES PASSOS;LENGO;ELEITO POR QP
BA;CARAVELAS;VEREADOR;REGINALDO ALVES PEREIRA;REGINALDO DA SAUDE;ELEITO POR QP
TO;SÃO FÉLIX DO TOCANTINS;VEREADOR;ISMAEL CIRQUEIRA GUIMARÃES;ISMAEL DRINKS;ELEITO POR QP
PA;MAGALHÃES BARATA;VEREADOR;SILVANO COSTA DA SILVA;SILVANO COSTA;ELEITO POR QP
SP;DRACENA;VEREADOR;RODRIGO ROSSETTI PARRA;RODRIGO PARRA;ELEITO POR QP
RS;BRAGA;VEREADOR;IVONE AMARAL DA SILVA;IVONE;ELEITO POR QP
CE;QUIXERAMOBIM;VEREADOR;ADNA DE SOUZA PAULINO;ADNA PAULINO;ELEITO POR QP
SP;GUARAÇAÍ;VEREADOR;LUCIANO RICARDO DA SILVA;DOKINHA;ELEITO POR QP
PE;ILHA DE ITAMARACÁ;VEREADOR;JESSE AZEVEDO DE ANDRADE;JESSE ANDRADE;ELEITO POR QP
ES;ALTO RIO NOVO;VEREADOR;CAIO DA SILVA DRAPAL;CAIO DRAPAL;ELEITO POR QP
PE;RIBEIRÃO;VEREADOR;JALBISON FERNANDO DE JESUS FREITAS;FERNANDINHO DE AMARA CIGANA;ELEITO POR QP
RS;FORMIGUEIRO;VEREADOR;ACI DA SILVA CARDOSO;ACI DA SILVA CARDOSO;ELEITO POR QP
PE;RIBEIRÃO;VEREADOR;EDGAR JOSÉ DA SILVA NETO;EDIR DO CIRA O MATUTO;ELEITO POR QP
RS;MONTE ALEGRE DOS CAMPOS;VEREADOR;VALDEMIR BOEIRA DOS SANTOS;MIRINHO;ELEITO POR QP
ES;LINHARES;VEREADOR;PAULO NUNES;PAULINHO DO MARACÚJA;ELEITO POR QP
RS;PICADA CAFÉ;VEREADOR;CARINA LUIZA BARTH ADAMS;CARINA ADAMS;ELEITO POR QP
GO;CASTELÂNDIA;VEREADOR;BRUNA LUIZA VENANCIO DA SILVA;BRUNA DO VINICIUS ENFERM BOCAO;ELEITO POR QP
GO;COCALZINHO DE GOIÁS;VEREADOR;ALESSANDRO GONÇALVES DOS REIS;ALESSANDRO DO LAU;ELEITO POR QP
GO;GOUVELÂNDIA;VEREADOR;JOÃO BATISTA SILVEIRA DOS SANTOS;JOÃO PEDREIRO;ELEITO POR QP
BA;QUIXABEIRA;VEREADOR;ROGERIO LIMA DA SILVA;ROGERIO;ELEITO POR QP
BA;QUIXABEIRA;VEREADOR;LOURIVAL CARNEIRO DA SILVA;LOURO;ELEITO POR QP
MA;CAJAPIÓ;VEREADOR;ANTÔNIO LOURENÇO DINIZ SEREJO;ANTONIO SEREJO;ELEITO POR QP
PR;ENGENHEIRO BELTRÃO;VEREADOR;ANTONIO FRANCISCO ALMEIDA DA SILVA;DR ANTONIO ALMEIDA;ELEITO POR QP
CE;POTENGI;VEREADOR;HERLÃ FERNANDES BRILHANTE;HERLAN BRILHANTE;ELEITO POR QP
CE;QUITERIANÓPOLIS;VEREADOR;FRANCISCO ALLISON LACERDA PEDROSA;ALLISON PEDROSA;ELEITO POR QP
CE;VÁRZEA ALEGRE;VEREADOR;LUIZ FRANCISCO DE SOUSA;LUIZ DO CONSELHO;ELEITO POR QP
ES;BARRA DE SÃO FRANCISCO;VEREADOR;PEDRINHO GODOY DE OLIVEIRA;PEDRINHO GODOY;ELEITO POR QP
RS;SANTA CLARA DO SUL;VEREADOR;LEILA REGINA IMMICH;LEILA IMMICH;ELEITO POR QP
SP;SILVEIRAS;VEREADOR;PEDRO CIRILO DA SILVA;PEDRO CIRILO;ELEITO POR QP
MA;SANTA QUITÉRIA DO MARANHÃO;VEREADOR;GEORGE RICARDO CALDAS PIMENTEL;RICARDO PIMENTEL;ELEITO POR QP
MA;SATUBINHA;VEREADOR;ANTONIO ERASMO PINHEIRO DE SOUSA;ERASMO LOBO;ELEITO POR QP
MA;ALTO ALEGRE DO PINDARÉ;VEREADOR;LUIZ INÁCIO MARQUES AZEVEDO MACHADO;INÁCIO NEGÃO;ELEITO POR QP
MA;MILAGRES DO MARANHÃO;VEREADOR;BERNARDO MARQUES BATISTA;BERNARDO PUPA;ELEITO POR QP
MG;CEDRO DO ABAETÉ;VEREADOR;LEILIANE GRAZIELE RAMOS;LEILIANE DO PELEGO;ELEITO POR QP
MG;CONCEIÇÃO DA APARECIDA;VEREADOR;COSME DAMIÃO DA SILVA BARBOSA;COSME DAS PANELAS;ELEITO POR QP
PA;CAMETÁ;VEREADOR;PEDRO NEVES FERNANDES;PEDRO FERNANDES;ELEITO POR QP
PA;CAMETÁ;VEREADOR;EDILENO MORAES CARDOSO;EDILENO MORAES;ELEITO POR QP
MG;DOM VIÇOSO;VEREADOR;ISABEL DULCIMAR MOREIRA;ISABEL DO VIRGILIO;ELEITO POR QP
MG;ESPINOSA;VEREADOR;VINICIUS PEREIRA DA SILVA;VINICIUS DA SANTANA;ELEITO POR QP
SE;GENERAL MAYNARD;VEREADOR;MANASSES GOES SANTOS;MANO;ELEITO POR QP
SE;MARUIM;VEREADOR;CECILIO SERGIO VIEIRA GOMES;SERGIO VIEIRA;ELEITO POR QP
MG;LAGOA FORMOSA;VEREADOR;TIAGO JOSÉ DE ANDRADE;TIAGO DO ZEZINHO;ELEITO POR QP
MA;SÃO LUÍS;VEREADOR;WERBETH MACEDO CASTRO;BETO CASTRO;ELEITO POR QP
SP;EMBU-GUAÇU;VEREADOR;ELTON CAMARGO CORRÊA;ELTON CAMARGO CORRÊA;ELEITO POR QP
PE;DORMENTES;VEREADOR;AVELAR GOMES DE MACEDO;AVELAR GOMES;ELEITO POR QP
SC;BARRA VELHA;VEREADOR;CAIO LEANDRO PINHEIRO;CAIO PINHEIRO;ELEITO POR QP
SP;GUAREÍ;VEREADOR;PERCIONE BATISTA VIEIRA SOARES;PERCIONE;ELEITO POR QP
SC;CANOINHAS;VEREADOR;MARCOS ANTÔNIO KUCARZ;MARCOS HOMER;ELEITO POR QP
SC;CANOINHAS;VEREADOR;ROSI APARECIDA PIOTROWSKI CRESTANI;ROSI CRESTANI  NEGA;ELEITO POR QP
SP;JABORANDI;VEREADOR;ANTÔNIO LUIZ DE LIMA JUNIOR;JUNINHO DO LAVA JATO;ELEITO POR QP
PI;COCAL DE TELHA;VEREADOR;LEANDRO MOREIRA ALVES;LEANDRO;ELEITO POR QP
SC;CUNHATAÍ;VEREADOR;DARCILO WEIDAUER SCHMITT;DARCILO;ELEITO POR QP
PI;LANDRI SALES;VEREADOR;WALDEY MÁRCIO DE CASTRO ANDRADE;WALDEY CASTRO;ELEITO POR QP
PI;LANDRI SALES;VEREADOR;RENAN DA ROCHA PIMENTEL;RENAN PIMENTEL;ELEITO POR QP
SC;LEBON RÉGIS;VEREADOR;LUIZ ADEMIR MAITELLI;MAITELLI;ELEITO POR QP
SC;SÃO FRANCISCO DO SUL;VEREADOR;LEONARDO AUGUSTO DE CAMARGO;LEO DA AGROLEO;ELEITO POR QP
TO;AURORA DO TOCANTINS;VEREADOR;JOSÉ FERNANDES MENDES DOS SANTOS;FERNANDES DA VILA;ELEITO POR QP
SP;CABRÁLIA PAULISTA;VEREADOR;CRISTIANA APARECIDA BONIFACIO;CRIS DO WILSON;ELEITO POR QP
TO;WANDERLÂNDIA;VEREADOR;ADRIANO LIMA DE SOUSA;ADRIANO DO BAR;ELEITO POR QP
SP;CACONDE;VEREADOR;FRANCISCO DE ASSIS XAVIER MONTEIRO;FRANK DE ASSIS;ELEITO POR QP
PR;MARIPÁ;VEREADOR;DONALDO SELING;DONALDO SELING;ELEITO POR QP
AL;MATRIZ DE CAMARAGIBE;VEREADOR;MARCELO DE MENDONÇA JUNIOR;JUNIOR MONANGE;ELEITO POR QP
RS;TUCUNDUVA;VEREADOR;JUCEMAR TUBIANA;JUCE TUBIANA;ELEITO POR QP
BA;GLÓRIA;VEREADOR;FABIANO SÁ DE OLIVEIRA;FABIANO DE ZEZÃO;ELEITO POR QP
BA;IBIRAPITANGA;VEREADOR;EVERALDO RAIMUNDO CRUZ SANTANA;EVERALDO ;ELEITO POR QP
MG;DIONÍSIO;VEREADOR;GIOVANE BASTOS SOARES;GIOVANE TATÃO;ELEITO POR QP
BA;IBITITÁ;VEREADOR;EDLA CRISTIAN VIANA DOURADO BASTOS;CRIS;ELEITO POR QP
BA;JUSSARI;VEREADOR;VINICIUS DOS SANTOS MONTEIRO;VINICIUS MONTEIRO;ELEITO POR QP
PB;JACARAÚ;VEREADOR;GENÉSIO DA SILVA PESSOA;GENÉSIO;ELEITO POR QP
PB;MULUNGU;VEREADOR;MARIA JOSE BATISTA DE LUCENA;PROFESSORA DINHA;ELEITO POR QP
MG;GAMELEIRAS;VEREADOR;IDICELIO DO PRADO PINTO;IDI DE IZAEL;ELEITO POR QP
SP;OLÍMPIA;VEREADOR;RENATO BARRERA SOBRINHO;SARGENTO BARRERA;ELEITO POR QP
RJ;ARRAIAL DO CABO;VEREADOR;AYRON PINTO FREIXO;AYRON FREIXO;ELEITO POR QP
PE;FREI MIGUELINHO;VEREADOR;ANDERSON GOMES DE LIMA;ANDERSON LIMA;ELEITO POR QP
PE;OLINDA;VEREADOR;RICARDO JOSÉ DE SOUSA LIMA;RICARDO SOUSA;ELEITO POR QP
MG;SABARÁ;VEREADOR;HAMILTON LUIZ ALVES;HAMILTON ALVES (CHUCA);ELEITO POR QP
PE;SÃO CAITANO;VEREADOR;OLIMPIO JOSÉ DOS SANTOS;OLÍMPIO;ELEITO POR QP
RN;PEDRO VELHO;VEREADOR;ROLDÃO TEIXEIRA DE CARVALHO SOBRINHO;ROLDÃO;ELEITO POR QP
MG;SÃO JOSÉ DA SAFIRA;VEREADOR;JOSÉ DE LOURDES FERREIRA JUNIOR;JUNINHO ZÉ DO TINO;ELEITO POR QP
MG;SÃO ROMÃO;VEREADOR;CLARY ANNY BATISTA DA SILVEIRA LEMOS;CLARIANE DE ZÉ LUIZ;ELEITO POR QP
PA;PORTO DE MOZ;VEREADOR;LUIS PAULO DE QUEIROZ SILVA;PAULINHO DOS CARAMELOS;ELEITO POR QP
RS;ARROIO DO PADRE;VEREADOR;JODELE VAHL SCHLESENER;JODELE VAHL SCHLESENER;ELEITO POR QP
PB;CAMALAÚ;VEREADOR;AUDENICE CHAVES SOUSA;NICINHA;ELEITO POR QP
PB;SÃO BENTINHO;VEREADOR;FELICIANO SOARES DA NOBREGA;LISSO;ELEITO POR QP
PI;CURIMATÁ;VEREADOR;BENEDITO RIBEIRO DE MACÊDO;BENEDITO MACARRÃO;ELEITO POR QP
PR;JAPIRA;VEREADOR;MARCOS RODRIGUES DE MORAIS;MARCOS DO GUAPÉ;ELEITO POR QP
RS;CHARQUEADAS;VEREADOR;TATIANE LOPES PEREIRA;ENFERMEIRA TATI;ELEITO POR QP
PR;MARILENA;VEREADOR;SERGIO SARAIVA MUNIZ;SERGIO SARAIVA;ELEITO POR QP
MG;UBERLÂNDIA;VEREADOR;ANTÔNIO CARLOS CARRIJO;CARRIJO;ELEITO POR QP
RS;SÃO MARCOS;VEREADOR;FERNANDO EMILIO DOS SANTOS MACHADO;MACHADO;ELEITO POR QP
RS;TRIUNFO;VEREADOR;MILTON ANTONIO ISIDORO DA SILVA;MILTON DO KI BARATO;ELEITO POR QP
PR;MATINHOS;VEREADOR;KAYAN GUSMÃO;PROFESSOR KAYAN;ELEITO POR QP
AM;IPIXUNA;VEREADOR;ALBECY PEREIRA MARTINS;ALBECY PEREIRA;ELEITO POR QP
BA;VÁRZEA DO POÇO;VEREADOR;MARISELMA DULTRA MENDES MOTA;SELMINHA;ELEITO POR QP
AM;SANTO ANTÔNIO DO IÇÁ;VEREADOR;NILSON ARTUR JUSTINO;NILSON TIKUNA;ELEITO POR QP
BA;BAIXA GRANDE;VEREADOR;WERLISSON OLIVEIRA SILVA;WERLISSON DE GILVAN;ELEITO POR QP
BA;BOM JESUS DA LAPA;VEREADOR;ZENILTON RODRIGUES COSTA;ZENILTON;ELEITO POR QP
MG;CAMBUÍ;VEREADOR;RENAN CASSIO ROSA;RENAN ROSA;ELEITO POR QP
MG;CARMÓPOLIS DE MINAS;VEREADOR;PALMERIO ALEX CASTRO FERREIRA;ALEX ENFERMEIRO;ELEITO POR QP
BA;COCOS;VEREADOR;ODENI RIBEIRO DOS SANTOS;DENI DO SITIO;ELEITO POR QP
CE;SOBRAL;VEREADOR;CARLOS EVANILSON OLIVEIRA VASCONCELOS;CARLOS DO CALISTO;ELEITO POR QP
MG;NATALÂNDIA;VEREADOR;JOSÉ APARECIDO PIRES MACIEL;ZÉ MATRACA;ELEITO POR QP
GO;PONTALINA;VEREADOR;LAURO FERNANDES CORREIA;LAURO;ELEITO POR QP
GO;PONTALINA;VEREADOR;SEBASTIÃO PIRES DA SILVA;SEBASTIÃO PIRES TIAN TIÃO;ELEITO POR QP
MG;PARACATU;VEREADOR;ALTANIR NUNES SANTOS JUNIOR;ALTANIR JUNIOR;ELEITO POR QP
GO;SANTO ANTÔNIO DA BARRA;VEREADOR;MILTON DE SOUZA SILVA;MILTON DO JESUS;ELEITO POR QP
GO;SANTO ANTÔNIO DA BARRA;VEREADOR;EDUARDO MESSIAS MELLO DE OLIVEIRA;DUDU DA LOTÉRICA;ELEITO POR QP
