UF;MUNICÍPIO;CARGO;NOME DO CANDIDATO;NOME NA URNA;DS_SIT_TOT_TURNO
SP;SANTO ANTÔNIO DO JARDIM;VEREADOR;HERIBERTO FERREIRA DE OLIVEIRA FILHO;BETINHO;ELEITO POR QP
SP;SÃO JOÃO DA BOA VISTA;VEREADOR;JOSE ALEXANDRE SASSARÃO;ALEXANDRE SASSARÃO;ELEITO POR QP
SC;BANDEIRANTE;VEREADOR;RODRIGO LOLATO;RODRIGO LOLATO;ELEITO POR QP
SP;SÃO JOÃO DA BOA VISTA;VEREADOR;SIDNEI RAMOS DA SILVA;NEI DA FARMACIA;ELEITO POR QP
SC;BOTUVERÁ;VEREADOR;VANDERSON BETINELLI;NENE BETINELLI;ELEITO POR QP
SC;RIO DAS ANTAS;VEREADOR;JOCIANE DE FATIMA DE MORAES CACHOEIRA;JUCE MORAES CACHOEIRA;ELEITO POR QP
SP;URÂNIA;VEREADOR;JOÃO JOVINO BATISTA;JOÃO PEGA LEBRE;ELEITO POR QP
SC;VARGEM BONITA;VEREADOR;ARLETE TERESINHA DEBASTIANI;ARLETE;ELEITO POR QP
SE;ARAUÁ;VEREADOR;JOSÉ ODAIR DOS SANTOS;ODAIR;ELEITO POR QP
SE;BREJO GRANDE;VEREADOR;JOSELITO FERREIRA DOS SANTOS;JOTA DO ZÉ DECA      ;ELEITO POR QP
SE;PEDRA MOLE;VEREADOR;PAULO JORGE DOS PASSOS;JORGE DA TOPIC;ELEITO POR QP
PB;ÁGUA BRANCA;VEREADOR;ANTÔNIO CALDEIRA DO SANTO;ANTONIO CALDEIRA;ELEITO POR QP
PB;MAMANGUAPE;VEREADOR;MARIA DO SOCORRO DE OLIVEIRA;MARIA DA SAÚDE;ELEITO POR QP
SP;ARARAS;VEREADOR;MIRIAN VANESSA PIRES;MIRIAN VANESSA;ELEITO POR QP
SP;AMÉRICO DE CAMPOS;VEREADOR;JOÃO VITOR DAVID;JOÃO VITOR DAVID;ELEITO POR QP
SP;BARRINHA;VEREADOR;MAGNUS WILLIAM DE CASTRO;MAGNUS - FILHO DO PROF. GIL;ELEITO POR QP
SP;BROTAS;VEREADOR;JANE SUZEGAN;JANE SUZEGAN;ELEITO POR QP
SP;RUBIÁCEA;VEREADOR;LUIS FERNANDO LUCCAS DE OLIVEIRA;JHOW;ELEITO POR QP
PI;MILTON BRANDÃO;VEREADOR;JOSE ANTONIO DE SOUSA SILVA;ZE ANTONIO;ELEITO POR QP
PI;MILTON BRANDÃO;VEREADOR;WAUDERSON DE OLIVEIRA SENA SOUSA;WANDERSON CASAGRANDE;ELEITO POR QP
SP;SALTO GRANDE;VEREADOR;WILLIAN BORILIO TASSINARI;WILLIAN TASSINARI ;ELEITO POR QP
PR;CONTENDA;VEREADOR;MARCOS SCHINDA DA SILVA;MARQUINHOS;ELEITO POR QP
SP;ILHABELA;VEREADOR;GABRIEL AUGUSTO DE OLIVEIRA SOUZA ROCHA;GABRIEL ROCHA;ELEITO POR QP
PR;MANOEL RIBAS;VEREADOR;SALETE BOEING DE MEDEIROS;PROFESSORA SALETE BOEING;ELEITO POR QP
PR;MATO RICO;VEREADOR;EDIVALDO JACINTO HIPOLITO;EDIVALDO PAULISTA;ELEITO POR QP
